source_file,method_id,train_dataset,test_dataset,model,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,1,200,54.5,,,54.5,0.09,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,2,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,3,200,74.5,,,74.5,0.49,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,4,200,68.5,,,68.5,0.37,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,5,200,54.0,,,54.0,0.08,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,6,200,50.5,,,50.5,0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,7,240,48.8,,,48.8,-0.025,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,8,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,9,240,57.9,,,57.9,0.158,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,10,200,52.0,,,52.0,0.04,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,11,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,12,200,54.5,,,54.5,0.09,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,13,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,14,200,60.0,,,60.0,0.2,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,15,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,16,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,17,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,18,200,50.5,,,50.5,0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,19,200,52.5,,,52.5,0.05,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,20,200,50.5,,,50.5,0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,21,200,51.0,,,51.0,0.02,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,22,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,23,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,24,200,51.5,,,51.5,0.03,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,25,200,54.5,,,54.5,0.09,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,26,200,51.0,,,51.0,0.02,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,27,200,51.5,,,51.5,0.03,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,28,200,52.5,,,52.5,0.05,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,29,200,49.5,,,49.5,-0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,30,200,57.5,,,57.5,0.15,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,31,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,32,200,44.5,,,44.5,-0.11,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,33,200,54.0,,,54.0,0.08,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,34,200,49.0,,,49.0,-0.02,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,35,200,54.5,,,54.5,0.09,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,36,200,59.5,,,59.5,0.19,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,37,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,38,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,39,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,40,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,41,200,54.0,,,54.0,0.08,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,42,200,51.5,,,51.5,0.03,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,43,200,50.0,,,50.0,0.0,,,,,,,,,,,,
