train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
cho2017,lee2019,cspnet,1,200,67.0,67.0,0.34,,,,,,
cho2017,lee2019,cspnet,2,200,55.0,55.0,0.1,,,,,,
cho2017,lee2019,cspnet,3,200,69.0,69.0,0.38,,,,,,
cho2017,lee2019,cspnet,4,200,52.5,52.5,0.05,,,,,,
cho2017,lee2019,cspnet,5,200,71.0,71.0,0.42,,,,,,
cho2017,lee2019,cspnet,6,200,51.5,51.5,0.03,,,,,,
cho2017,lee2019,cspnet,7,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnet,8,200,54.5,54.5,0.09,,,,,,
cho2017,lee2019,cspnet,9,200,64.5,64.5,0.29,,,,,,
cho2017,lee2019,cspnet,10,200,62.5,62.5,0.25,,,,,,
cho2017,lee2019,cspnet,11,200,48.5,48.5,-0.03,,,,,,
cho2017,lee2019,cspnet,12,200,57.5,57.5,0.15,,,,,,
cho2017,lee2019,cspnet,13,200,62.0,62.0,0.24,,,,,,
cho2017,lee2019,cspnet,14,200,62.0,62.0,0.24,,,,,,
cho2017,lee2019,cspnet,15,200,55.0,55.0,0.1,,,,,,
cho2017,lee2019,cspnet,16,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnet,17,200,59.0,59.0,0.18,,,,,,
cho2017,lee2019,cspnet,18,200,68.0,68.0,0.36,,,,,,
cho2017,lee2019,cspnet,19,200,74.0,74.0,0.48,,,,,,
cho2017,lee2019,cspnet,20,200,62.0,62.0,0.24,,,,,,
cho2017,lee2019,cspnet,21,200,60.5,60.5,0.21,,,,,,
cho2017,lee2019,cspnet,22,200,69.5,69.5,0.39,,,,,,
cho2017,lee2019,cspnet,23,200,76.0,76.0,0.52,,,,,,
cho2017,lee2019,cspnet,24,200,52.0,52.0,0.04,,,,,,
cho2017,lee2019,cspnet,25,200,52.5,52.5,0.05,,,,,,
cho2017,lee2019,cspnet,26,200,57.0,57.0,0.14,,,,,,
cho2017,lee2019,cspnet,27,200,48.5,48.5,-0.03,,,,,,
cho2017,lee2019,cspnet,28,200,57.0,57.0,0.14,,,,,,
cho2017,lee2019,cspnet,29,200,72.0,72.0,0.44,,,,,,
cho2017,lee2019,cspnet,30,200,54.5,54.5,0.09,,,,,,
cho2017,lee2019,cspnet,31,200,53.0,53.0,0.06,,,,,,
cho2017,lee2019,cspnet,32,200,69.5,69.5,0.39,,,,,,
cho2017,lee2019,cspnet,33,200,67.0,67.0,0.34,,,,,,
cho2017,lee2019,cspnet,34,200,54.0,54.0,0.08,,,,,,
cho2017,lee2019,cspnet,35,200,49.0,49.0,-0.02,,,,,,
cho2017,lee2019,cspnet,36,200,93.5,93.5,0.87,,,,,,
cho2017,lee2019,cspnet,37,200,69.0,69.0,0.38,,,,,,
cho2017,lee2019,cspnet,38,200,50.5,50.5,0.01,,,,,,
cho2017,lee2019,cspnet,39,200,71.5,71.5,0.43,,,,,,
cho2017,lee2019,cspnet,40,200,57.0,57.0,0.14,,,,,,
cho2017,lee2019,cspnet,41,200,50.0,50.0,0.0,,,,,,
cho2017,lee2019,cspnet,42,200,57.0,57.0,0.14,,,,,,
cho2017,lee2019,cspnet,43,200,58.5,58.5,0.17,,,,,,
cho2017,lee2019,cspnet,44,200,72.5,72.5,0.45,,,,,,
cho2017,lee2019,cspnet,45,200,73.5,73.5,0.47,,,,,,
cho2017,lee2019,cspnet,46,200,64.0,64.0,0.28,,,,,,
cho2017,lee2019,cspnet,47,200,63.0,63.0,0.26,,,,,,
cho2017,lee2019,cspnet,48,200,53.5,53.5,0.07,,,,,,
cho2017,lee2019,cspnet,49,200,63.5,63.5,0.27,,,,,,
cho2017,lee2019,cspnet,50,200,52.5,52.5,0.05,,,,,,
cho2017,lee2019,cspnet,51,200,55.0,55.0,0.1,,,,,,
cho2017,lee2019,cspnet,52,200,56.0,56.0,0.12,,,,,,
cho2017,lee2019,cspnet,53,200,65.0,65.0,0.3,,,,,,
cho2017,lee2019,cspnet,54,200,58.5,58.5,0.17,,,,,,
